Project ID,Well ID,Company ID,Project End Date,Licence(s),Released?,Release Date,Release Round,Summary Tags,File Count,Project Size,Last Update,Data Reporting Group,CHECKED,Project Type,Survey / Well ID,NSTA Area,DUPL,ABY,RBY,UBY
KNOC2010well0004, 29/01a-A3Z,KNOC,19/12/2010,P233,TRUE,13/04/2015,134,GEOL_MUD DUPL DWL_MUD DWL_MWD ENG_COMPS GEOL_GEOW JWL_FILE LOG_COMP LOG_MUD LOG_MWD PRE_DPROG WDD_FILE WELL_SUMMARY,26,128907214,04/02/2022,KOREA NATIONAL OIL CORPORATION,TRUE,well,29/01a-A3Z,CNS,KNOC2010well0006,,,
HESS1982well0004, 29/01b- 1,HESS,09/12/1982,P361,TRUE,17/10/1988,29,CORE_CCA CSHOT_FILE DRILL_DEV DWL_WIRE GEOL_BIO GPHYS_CSHOT GPHYS_VSP JWL_AUDIT JWL_FILE LOG_CASE LOG_COMP LOG_CORE LOG_CPI LOG_DIP LOG_LITH LOG_MUD LOG_SEIS LOG_TEST LOG_VEL LOG_WIRE TEST_FLUID TEST_GEN WDD_FILE WELL_SUMMARY,83,175563299,26/11/2022,HESS LIMITED,TRUE,well,29/01b- 1,CNS,,,,
HESS1983well0005, 29/01b- 1Z,HESS,01/03/1983,P361,TRUE,17/10/1988,29,CORE_GEN DRILL_DEV DWL_WIRE GEOL_BIO GEOL_GEOW JWL_AUDIT JWL_FILE LOG_CASE LOG_COMP LOG_CORE LOG_LITH LOG_MUD LOG_SUM LOG_WIRE WDD_FILE WELL_SUMMARY,32,12374028,26/11/2022,HESS LIMITED,TRUE,well,29/01b- 1Z,CNS,,,,
HESS1986well0002, 29/01b- 2,HESS,22/04/1986,P361,TRUE,13/07/1992,42,CORE_CCA CSHOT_FILE DRILL_DEV DWL_WIRE GEOL_GEOW GPHYS_CSHOT GPHYS_GEN JWL_AUDIT JWL_FILE LOG_CASE LOG_COMP LOG_DIP LOG_TEST LOG_VEL LOG_WIRE PRE_PROP WDD_FILE,34,31735213,26/11/2022,HESS LIMITED,TRUE,well,29/01b- 2,CNS,,,,
HESS1989well0003, 29/01b- 3,HESS,28/10/1989,P361,TRUE,23/10/1995,53,DRILL_MWD DWL_WIRE JWL_AUDIT JWL_FILE LOG_COMP LOG_CORE LOG_DIP LOG_LITH LOG_MUD LOG_MWD LOG_TEST LOG_VEL LOG_WIRE WDD_FILE WELL_SUMMARY,32,54468652,26/11/2022,HESS LIMITED,TRUE,well,29/01b- 3,CNS,,,,
KNOC1996well0004, 29/01b- 5,KNOC,14/07/1996,P361,TRUE,14/07/2000,82,CORE_CCA CORE_GEN CORE_SIDEWALL DRILL_DEV DRILL_GEN DUPL DWL_TEST DWL_WIRE WELL_ENG GEOL_BIO GEOL_CHEM GEOL_DIP GEOL_GEN GEOL_MUD GEOL_PPHYS GEOL_SED GPHYS_QCVSP GPHYS_SONIC GPHYS_VSP JWL_AUDIT JWL_FILE LOG_CASE LOG_COMP LOG_CORE LOG_CPI LOG_DIP LOG_LITH LOG_MUD LOG_MWD LOG_SEIS LOG_TEST LOG_WIRE PRE_GEN PRE_MOVE TEST_DST TEST_FILE TEST_FLUID TEST_GEN WDD_FILE WELL_SUMMARY,209,1432476415,04/11/2022,KOREA NATIONAL OIL CORPORATION,TRUE,well,29/01b- 5,CNS,TALW1996well0001,8db45443-a80c-4b98-ad71-959f27f156c4,8db45443-a80c-4b98-ad71-959f27f156c4,
KNOC1996well0003, 29/01b- 6,KNOC,15/10/1996,P361,TRUE,22/07/2002,83,CORE_CCA DRILL_GEN GEOL_MUD DUPL DWL_MWD DWL_TEST DWL_WIRE GPHYS_VSP JWL_AUDIT JWL_FILE LOG_CASE LOG_COMP LOG_CPI LOG_DIP LOG_LITH LOG_MUD LOG_MWD LOG_SEIS LOG_TEST LOG_WIRE SCAL_FILE TEST_FLUID WDD_FILE WELL_SUMMARY,70,1210783588,04/02/2022,KOREA NATIONAL OIL CORPORATION,TRUE,well,29/01b- 6,CNS,TALW1996well0001,,,
KNOC1999well0003, 29/01b-B1,KNOC,17/06/1999,P361,TRUE,26/07/2004,91,DRILL_GEN DRILL_EOWR GEOL_MUD DRILL_MWD DWL_MUD DWL_MWD DWL_PROD DWL_WIRE ENG_COMPS WELL_ENG GEOL_GEOW JWL_FILE LOG_CASE LOG_COMP LOG_LITH LOG_MUD LOG_MWD LOG_TEST LOG_WIRE PRE_MOVE TEST_FLUID TEST_GEN TEST_PLT WDD_FILE WELL_SUMMARY,44,515646972,26/11/2022,KOREA NATIONAL OIL CORPORATION,TRUE,well,29/01b-B1,CNS,,,,
KNOC1999well0004, 29/01b-B2,KNOC,02/07/1999,P361,TRUE,26/07/2004,91,DRILL_GEN DRILL_EOWR GEOL_MUD DRILL_MWD DUPL DWL_MUD DWL_MWD DWL_WIRE ENG_ABAND ENG_COMPS WELL_ENG JWL_FILE LOG_CASE LOG_COMP LOG_LITH LOG_MUD LOG_MWD LOG_WIRE PRE_DPROG PRE_MOVE TEST_FLUID TEST_GEN WDD_FILE WELL_SUMMARY,35,1669544559,26/11/2022,KOREA NATIONAL OIL CORPORATION,TRUE,well,29/01b-B2,CNS,KNOC1999well0003;KNOC2020well0001,,,
KNOC1999well0005, 29/01b-B3,KNOC,12/07/1999,P361,TRUE,26/07/2004,91,DRILL_DEV DRILL_GEN GEOL_MUD DRILL_MWD DUPL DWL_MUD DWL_MWD DWL_PROD DWL_WIRE ENG_COMPS WELL_ENG GEOL_GEOW JWL_FILE LOG_CASE LOG_COMP LOG_CPI LOG_LITH LOG_MUD LOG_MWD LOG_TEST LOG_WIRE PRE_MOVE TEST_GEN WDD_FILE WELL_SUMMARY,43,220058648,26/11/2022,KOREA NATIONAL OIL CORPORATION,TRUE,well,29/01b-B3,CNS,KNOC1999well0003;KNOC1999well0004,,,
KNOC2006well0001, 29/01b-B4,KNOC,26/09/2006,P361,TRUE,14/04/2014,130,DRILL_GEN GEOL_MUD DRILL_MWD DUPL DWL_MUD DWL_MWD DWL_TEST ENG_COMPS GEOL_GEOW JWL_FILE LOG_COMP LOG_DIP LOG_LITH LOG_MUD LOG_MWD LOG_TEST PRE_DPROG WDD_FILE,35,185480328,26/11/2022,KOREA NATIONAL OIL CORPORATION,TRUE,well,29/01b-B4,CNS,KNOC2010well0001,,,
KNOC2010well0006, 29/01b-B4Y,KNOC,15/02/2010,P361,TRUE,14/04/2014,130,DRILL_GEN GEOL_MUD DRILL_MWD DWL_MUD DWL_MWD DWL_OTHER DWL_PROD DWL_WIRE ENG_COMPS GEOL_GEOW GEOL_PPHYS JWL_AUDIT JWL_FILE LOG_CASE LOG_COMP LOG_MUD LOG_MWD LOG_TEST PRE_DPROG TEST_FLUID TEST_PLT WDD_FILE WELL_SUMMARY,107,4774046225,26/11/2022,KOREA NATIONAL OIL CORPORATION,TRUE,well,29/01b-B4Y,CNS,,,,
KNOC2010well0001, 29/01b-B4Z,KNOC,20/01/2010,P361,TRUE,14/04/2014,130,DRILL_GEN DRILL_EOWR GEOL_MUD DWL_MUD DWL_MWD DWL_PROD JWL_FILE LOG_COMP LOG_LITH LOG_MUD LOG_MWD LOG_TEST PRE_DPROG PRE_GPROG WDD_FILE,24,86446942,26/11/2022,KOREA NATIONAL OIL CORPORATION,TRUE,well,29/01b-B4Z,CNS,,,,
SH__1991well0027, 29/01c- 4,SH__,09/04/1991,P670,TRUE,14/10/1996,59,ABANDON_CEMENT ABANDON_HSE ABANDON_PROG CSHOT_FILE DRILL_DEV DRILL_GEN DRILL_EOWR GEOL_MUD DRILL_MWD DWL_MWD DWL_OTHER DWL_WIRE GEOL_CHEM GEOL_GEN GEOL_GEOW GPHYS_CSHOT GPHYS_GEN JWL_AUDIT JWL_FILE LOG_CASE LOG_COMP LOG_CORE LOG_MUD LOG_MWD LOG_SEIS LOG_WIRE WDD_FILE WELL_SUMMARY WELL_SCHEM,46,342510888,09/11/2022,SHELL PLC,TRUE,well,29/01c- 4,CNS,,,,
SUMT2012well0002, 29/01c- 9,JRSY,17/04/2012,P1556,TRUE,13/04/2015,134,DRILL_DEV DUPL DWL_MUD DWL_WIRE GEOL_GEN GEOL_GEOW JWL_AUDIT JWL_FILE LOG_COMP LOG_MWD LOG_WIRE PRE_SITE WDD_FILE WELL_SUMMARY,14,89484128,26/11/2022,JERSEY OIL AND GAS PLC,TRUE,well,29/01c- 9,CNS,SUMT2012well0001,8db45443-a80c-4b98-ad71-959f27f156c4,8db45443-a80c-4b98-ad71-959f27f156c4,
SUMT2012well0001, 29/01c- 9Z,JRSY,03/05/2012,P1556,TRUE,13/04/2015,134,DRILL_DEV DRILL_GEN GEOL_MUD DRILL_MWD DWL_MUD DWL_MWD DWL_WIRE GEOL_GEOW JWL_AUDIT JWL_FILE LOG_COMP LOG_MUD LOG_WIRE WDD_FILE WELL_SUMMARY,28,48433112,26/11/2022,JERSEY OIL AND GAS PLC,TRUE,well,29/01c- 9Z,CNS,,8db45443-a80c-4b98-ad71-959f27f156c4,8db45443-a80c-4b98-ad71-959f27f156c4,
CNRI1976well0007, 29/02- 1,CNRI,01/01/1976,P224,TRUE,01/11/1982,9,CSHOT_FILE DRILL_DEV DRILL_GEN DRILL_EOWR DUPL DWL_WIRE ENG_COMPS GEOL_BIO GEOL_GEN GEOL_GEOW GPHYS_CSHOT JWL_AUDIT JWL_FILE LOG_BIO LOG_CASE LOG_COMP LOG_CORE LOG_DIP LOG_LITH LOG_MUD LOG_MWD LOG_SEIS LOG_VEL LOG_WIRE PRE_DPROG PRE_GEN PRE_GPROG PRE_SITE VSP_SEGY WDD_FILE WELL_SUMMARY,89,139130524,05/02/2022,CNR INTERNATIONAL,TRUE,well,29/02- 1,CNS,HARB1992well0027;CNRI1986well0013,,,
CNRI1976well0006, 29/02- 1Z,CNRI,02/04/1976,P224,TRUE,01/11/1982,9,CORE_CCA CSHOT_FILE DRILL_DEV DRILL_EOWR DUPL DWL_WIRE GEOL_BIO GPHYS_CSHOT JWL_AUDIT JWL_FILE LOG_BIO LOG_COMP LOG_MUD LOG_VEL VSP_SEGY WDD_FILE WELL_SUMMARY,22,38492271,04/02/2022,CNR INTERNATIONAL,TRUE,well,29/02- 1Z,CNS,CNRI1976well0007;CNRI1986well0013,,,
